,,,Resultant Columns to be filled with web scraping,,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL50,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL10,,,,,
CHEMBL1963,Thyroid stimulating hormone receptor,P16473,17135,CHEMBL65,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL3086837,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL3086835,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL3086823,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL3086836,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1210411,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1801330,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1801337,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1801336,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1801332,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1801335,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1801272,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL55641,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1405608,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1460271,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1991431,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1325413,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1484316,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1571647,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL592712,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1332050,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL3197912,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1094,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL265686,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1492922,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL606166,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL543876,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1504701,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL6206,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL207538,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL533602,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1600114,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1390716,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1610049,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL247378,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL22062,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL554190,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL45281,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL109037,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL8747,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1439210,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL374632,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1451931,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL24983,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL29097,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1602759,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL223228,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1334062,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL304818,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1380801,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL391997,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL489,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL578512,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL96,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL121663,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1563,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL54126,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL54440,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1417019,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL270299,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1385840,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL976,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1113,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1483,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1544,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL429095,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL728,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL359744,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1428,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL51085,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL1401,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL567,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL163,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL17157,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL964,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL88,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL998,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL9514,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL30432,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL103,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL9,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL6,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL47940,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL258805,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL605003,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL107,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL276711,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL104,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL157101,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL50,,,,,
CHEMBL5162,Neuropeptide S receptor,Q6W5P4,15060,CHEMBL428647,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3299093,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1276764,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3982119,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3394257,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL2373205,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL359002,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3976319,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3984387,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775810,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3774534,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3774463,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775395,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1203260,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775338,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3983121,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3979523,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL245231,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775667,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3774462,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3922535,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3322998,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775482,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3950540,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775386,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3322994,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3774431,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3896638,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3805772,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL412665,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1224698,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3774425,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3323011,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3805704,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL80645,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775256,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3797209,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3805600,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL486337,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL62750,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL64265,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3357315,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL2057442,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL64622,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL2334893,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL302183,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3774490,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3394262,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL2057441,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL519547,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL355149,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL304692,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1934127,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL62565,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL2057454,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3775534,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1807832,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1204116,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL270227,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3957865,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL3335555,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1945290,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1945044,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1807826,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1945032,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1945040,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL134423,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL273041,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL406221,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL377200,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL182886,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL1078207,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL261019,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL259776,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL56519,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL4087132,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL320597,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL119455,,,,,
CHEMBL217,Dopamine D2 receptor,P14416,9594,CHEMBL4104261,,,,,
